,Country Name,Growth,GDP Per Capita
104,Myanmar,1303.799058353487,1400.2182418995599
28,China,994.50664836341,10500.3956159637
97,Moldova,932.770486676325,4551.13067562421
56,Ghana,800.8880231782653,2328.5346421107897
106,Mongolia,745.0367844342023,4007.30888507766
141,Serbia,738.0371828405604,7666.244475959209
130,Romania,676.9160352014187,12896.0886211622
49,Ethiopia,652.3176210616726,936.340461064749
80,Kazakhstan,636.8377398761552,9055.74500903002
64,Guyana,628.8282584670166,6955.939217177889
164,Vietnam,614.1173498668242,2785.724156875
3,Armenia,585.2692608024643,4267.452119381571
7,Azerbaijan,543.2885103580018,4214.3113363475
151,Tajikistan,520.6337186787235,859.137961121368
13,Bulgaria,515.3167811301713,9975.780000709241
93,Lithuania,507.23340476458867,19997.5925262112
159,Ukraine,486.2673033189553,3726.92714937055
48,Estonia,471.9441672851698,23312.2763272181
131,Russian Federation,471.6163780156715,10126.7217935297
55,Georgia,470.5843541240756,4278.86077091661
95,Latvia,424.7803065675698,17619.9523907399
118,Nepal,403.35129131182964,1155.14285440358
83,Cambodia,403.2132129260237,1512.72775264685
16,Belarus,402.25288097129,6411.2278131981
70,Indonesia,395.98013456941726,3869.5884270453703
105,Montenegro,372.38782049989413,7686.092949186509
12,Bangladesh,370.9252533564656,1968.7922248458103
1,Albania,362.8875453088676,5215.2767523700295
81,Kenya,362.4629345073673,1838.20996794042
40,Djibouti,345.9225089828766,3425.5034504707696
124,Papua New Guinea,337.871040236136,2636.8002494333
22,Bhutan,334.75243490140673,3122.37606234724
71,India,328.7493692395199,1900.70680971528
91,Sri Lanka,323.37060511433526,3682.0384245928203
82,Kyrgyz Republic,319.7171746112392,1173.6113557621302
60,Equatorial Guinea,313.966984935651,7143.23870497146
15,Bosnia and Herzegovina,310.9315663884369,6031.556868676579
110,Malawi,299.84069015584834,625.2941291601401
133,South Asia,298.2276859450655,1804.9176226297102
167,Kosovo,294.1302713261184,4287.20090326802
45,Ecuador,287.49531113412763,5600.38961495341
38,Czech Republic,277.54275904299357,22762.1971366777
148,Chad,269.76835788485005,614.465189935689
114,Nigeria,269.251458210046,2097.09247289022
150,Thailand,258.0672183115239,7189.04183501668
29,Cote d'Ivoire,256.19917906881557,2325.72370502247
143,Slovak Republic,253.89537358309178,19156.8896116995
139,Sierra Leone,249.33361948849094,484.52126748358495
125,Poland,247.8027876408038,15656.1827308666
69,Hungary,243.81876927132677,15899.1482797158
0,Angola,240.45246882580687,1895.7708689131302
99,Maldives,233.65566707603458,7455.85572772295
152,Timor-Leste,232.74449908383613,1381.17566036276
57,Guinea,228.49960859269595,1194.0378646946401
11,Burkina Faso,224.9372009272884,830.9251446219389
142,Suriname,222.5760699650285,6491.139065384979
72,Ireland,219.3334751326052,83812.8029661508
36,Costa Rica,218.7290249974042,12076.8145138494
101,North Macedonia,217.49198481231264,5888.00401517897
102,Mali,217.47848299749185,858.9158054962351
18,Bolivia,215.0664592438984,3143.0454942418896
122,Peru,213.30088546854617,6126.8745397886705
158,Uganda,212.00154084387967,817.0357569269231
123,Philippines,207.49459952078536,3298.8298514291996
119,New Zealand,206.36667689044717,41791.79308952
132,Rwanda,206.1596024435139,797.855554346228
169,Zambia,204.0066059194323,1050.91928305741
121,Panama,202.16967292924707,12269.0489963771
149,Togo,202.00516073888483,914.950582595136
162,Uzbekistan,201.98566954732743,1685.76494675082
128,Paraguay,197.53155834661436,4949.74970033259
113,Niger,185.62587500111562,565.0613331183799
67,Croatia,185.6173846536835,13828.469504884599
156,Tuvalu,183.16056799108716,4143.10975263011
63,Guatemala,176.5933123874312,4603.33961670975
103,Malta,167.2906997226582,27884.642827425097
166,Samoa,163.76761362395388,4067.4726295115206
157,Tanzania,161.94529463807802,1076.4703845535198
27,Chile,160.72823870566012,13231.7042069383
79,Jordan,159.3066904661663,4282.765822610851
111,Malaysia,157.23692136413408,10401.7940137994
86,"Korea, Rep.",156.90739350353294,31489.1226973168
43,Dominican Republic,153.3198204688578,7268.1969096591
10,Benin,151.82497399242686,1291.04096203645
137,Singapore,150.69986718035895,59797.7521801188
108,Mauritania,147.265759956803,1672.9235348238
144,Slovenia,146.82793803532195,25179.667172293597
46,"Egypt, Arab Rep.",144.6004108407188,3547.8708481380895
35,Cabo Verde,143.32115179852397,3064.2723884281895
136,Senegal,141.06677570721624,1487.7573088192
153,Trinidad and Tobago,139.06322625361258,15384.0394609875
5,Australia,138.99424193135567,51812.154037398795
94,Luxembourg,137.75774242423964,115873.60263020301
51,Fiji,135.9002993028601,4881.52606919802
59,Guinea-Bissau,135.51177425323368,727.5201717195621
30,Cameroon,130.10270657960962,1499.37284272297
96,Morocco,125.42149096038742,3009.2494595815197
160,Uruguay,124.55788322968,15438.4116657291
26,Switzerland,122.32871322389131,86601.5564126289
138,Solomon Islands,121.93099784318827,2258.40036455455
66,Honduras,120.08187913412836,2405.73284775141
109,Mauritius,119.45812763865726,8622.67551491013
134,Saudi Arabia,119.27368173673551,20110.3161923744
34,Comoros,116.64188601941588,1402.59548928279
33,Colombia,111.57760508134076,5332.77352412685
84,Kiribati,109.69101066806242,1670.8246905941198
120,Pakistan,107.17503532479525,1193.73339713731
76,Israel,106.67337144577549,43610.5203308148
74,Iraq,101.98981690736643,4157.48449469489
50,Finland,101.93699638969301,49041.3422565659
8,Burundi,100.79257669410597,274.009523229095
170,Zimbabwe,100.37220054272606,1128.2107112980802
116,Netherlands,100.02002044556156,52304.0573851896
126,Puerto Rico,99.42359142812987,32290.9211360931
163,St. Vincent and the Grenadines,98.50961406388168,7297.9123498741
42,Denmark,98.1190842569154,60908.8351349442
146,Eswatini,97.57266765790568,3415.4594462447303
92,Lesotho,97.25955291350235,861.0145480915261
155,Turkey,96.84639447148386,8538.16905982745
6,Austria,95.83319952528859,48105.3646248411
127,Portugal,95.1674903375382,22439.8768739626
9,Belgium,93.53909638386038,44594.3781075628
39,Germany,93.44974203287724,45723.644103932806
112,Namibia,92.67217267133819,4211.05092913395
62,Grenada,91.42217435268758,9680.17582544907
32,"Congo, Rep.",91.11263422196446,1972.5452461909301
23,Botswana,90.528058182265,6710.990411266
88,Liberia,90.0936615400579,583.271727316711
24,Central African Republic,89.8237547142172,476.85111271985704
140,El Salvador,89.78568642428392,3798.6365208232105
165,Vanuatu,89.23680546794277,2782.9843403731297
115,Nicaragua,89.10740060459807,1905.25675597599
44,Algeria,87.5544715340855,3310.3865335236796
37,Cyprus,85.03723136569083,26623.8008913181
75,Iceland,84.634221760611,59260.887138168204
47,Spain,83.89888311730766,27057.163515123902
85,St. Kitts and Nevis,82.2707373083871,17435.9274299115
19,Brazil,81.26111374028511,6796.844542278771
65,"Hong Kong SAR, China",79.8519553662702,46323.8634424384
25,Canada,78.16165038357883,43241.6178282827
117,Norway,76.48019745185131,67294.47697866929
145,Sweden,75.27718758037057,51925.71375963849
161,United States,74.88299799680269,63543.577788724004
52,France,72.7106806358079,38625.0673845578
129,Qatar,69.48618711798031,50805.463567753206
53,Gabon,69.38810455247402,7005.87909704756
98,Madagascar,68.75964648642463,495.49040089145797
168,South Africa,67.87525551802729,5090.71502455292
135,Sudan,62.61937735166762,595.467833007679
77,Italy,57.69038977395464,31676.202098734902
90,St. Lucia,55.89989580050621,9276.11782856052
21,Brunei Darussalam,52.48486492456222,27466.3396414199
147,Seychelles,50.74966969758328,11425.0929292519
154,Tunisia,50.093429225087704,3319.81902353323
61,Greece,46.77622198544156,17676.1924769339
